tconst,title,year,name,character
tt2140465,Tanu Weds Manu Returns,2015,Kangana Ranaut,Tanuja 'Tanu' Trivedi / Kusum 'Datto' Kumari
tt2140465,Tanu Weds Manu Returns,2015,Madhavan,Manoj 'Manu' Sharma
tt2140465,Tanu Weds Manu Returns,2015,Jimmy Sheirgill,Raja Awasthi (as Jimmy Shergill)
tt2140465,Tanu Weds Manu Returns,2015,Deepak Dobriyal,Pappi
tt2140465,Tanu Weds Manu Returns,2015,Swara Bhaskar,Payal
tt2140465,Tanu Weds Manu Returns,2015,Eijaz Khan,Jaspreet Singh Jassi
tt2140465,Tanu Weds Manu Returns,2015,Mohammed Zeeshan Ayyub,Chintu
tt2140465,Tanu Weds Manu Returns,2015,Rajendra Gupta,Rajendra Trivedi
tt2140465,Tanu Weds Manu Returns,2015,Navni Parihar,Tanu's Mother
tt2140465,Tanu Weds Manu Returns,2015,K.K. Raina,Manu's father
tt2140465,Tanu Weds Manu Returns,2015,Dipti Misra,Manu's mother
tt2140465,Tanu Weds Manu Returns,2015,Rahul Chahan,Tanu's Uncle
tt2140465,Tanu Weds Manu Returns,2015,Shishir Sharma,Datto's father
tt2140465,Tanu Weds Manu Returns,2015,Gulzar Dastur,Datto's mother
tt2140465,Tanu Weds Manu Returns,2015,Rajesh Sharma,Omprakash 'Omi' Sangwan
tt2140465,Tanu Weds Manu Returns,2015,Raj Awasti,Bus passenger / Tourist
tt2140465,Tanu Weds Manu Returns,2015,Manu Rishi Chadha,Lawyer at court for divorce notice
tt2140465,Tanu Weds Manu Returns,2015,Aakash Dahiya,Deepak
tt2140465,Tanu Weds Manu Returns,2015,Alex Jaep,Bus Passenger
tt2140465,Tanu Weds Manu Returns,2015,Gaurav Mishra,
tt2424988,Gabbar is Back,2015,Akshay Kumar,Aditya (Gabbar)
tt2424988,Gabbar is Back,2015,Kareena Kapoor,Sunaina
tt2424988,Gabbar is Back,2015,Shruti Haasan,Shruti (as Shruti K. Haasan)
tt2424988,Gabbar is Back,2015,Shruti Bapna,Lakshmi
tt2424988,Gabbar is Back,2015,Jaideep Ahlawat,C.B.I. Officer Kuldeep Pahwa
tt2424988,Gabbar is Back,2015,Chitrangda Singh,Rani (doing an Item Number)
tt2424988,Gabbar is Back,2015,Sunil Grover,Constable Sadhuram
tt2424988,Gabbar is Back,2015,Vikas Shrivastav,Inspector Vikas
tt2424988,Gabbar is Back,2015,Ishita Vyas,Veena
tt2424988,Gabbar is Back,2015,Suman,Digvijay Patil
tt2424988,Gabbar is Back,2015,Jagdish Rajpurohit,Sub Inspector Yadav
tt2424988,Gabbar is Back,2015,Krishna Raaz,Shanti Nagpal
tt2424988,Gabbar is Back,2015,Sanjay Gurbaxani,Gabbar's very first target in corrupt list
tt2424988,Gabbar is Back,2015,Praveena Deshpande,Govind's Mother
tt2424988,Gabbar is Back,2015,Parihar Ruby,
tt2424988,Gabbar is Back,2015,Anandeshwar Dwivedi,News Reader
tt2424988,Gabbar is Back,2015,Uttam Halder,Ward Boy
tt2424988,Gabbar is Back,2015,Jitendra Trehan,Doctor
tt2424988,Gabbar is Back,2015,Sai Ballal,Corrupt Police Officer
tt2424988,Gabbar is Back,2015,Anuradha Chandan,Govind's mother
tt2424988,Gabbar is Back,2015,Anil Kumar,Taxi Driver
tt2424988,Gabbar is Back,2015,Raj Singh Arora,Govind
tt2424988,Gabbar is Back,2015,Rajiv Kachroo,Inspector Vishwas Sawant
tt2424988,Gabbar is Back,2015,Deepjyoti Das,
tt2424988,Gabbar is Back,2015,Anoop Puri,Lawyer- Shruti's boss
tt2424988,Gabbar is Back,2015,Chandra Prakash Thakur,Police
tt2424988,Gabbar is Back,2015,Rajiv Ranjan,Akshay's Friend
tt2424988,Gabbar is Back,2015,Narendra Jetley,Senior Doctor
tt2424988,Gabbar is Back,2015,Ashish Gokhale,Ajay
tt2424988,Gabbar is Back,2015,Anil Rai Mani,Bald Gangster at National College
tt2424988,Gabbar is Back,2015,Robin Chaudhary,Taxi driver
tt2424988,Gabbar is Back,2015,Harmanpreet Kaur,Nurse #1- Patil Hospital
tt2424988,Gabbar is Back,2015,Prateek Srivastava,Hari
tt2976182,Roy,2015,Arjun Rampal,Kabir Grewal
tt2976182,Roy,2015,Jacqueline Fernandez,Ayesha / Tia
tt2976182,Roy,2015,Ranbir Kapoor,Roy
tt2976182,Roy,2015,Barun Chanda,Roy's Boss
tt2976182,Roy,2015,Roxana Astiac,Girl in the Orange Dress cheering her drink
tt2976182,Roy,2015,Asif Basra,Art Dealer
tt2976182,Roy,2015,Cyrus Broacha,Self
tt2976182,Roy,2015,Valentine Cawley,The Auctioneer
tt2976182,Roy,2015,Rajit Kapoor,Wadia
tt2976182,Roy,2015,Mandana Karimi,Anita
tt2976182,Roy,2015,Anupam Kher,Kabir's Dad
tt2976182,Roy,2015,Kaizaad Kotwal,Mr. Irani
tt2976182,Roy,2015,Shernaz Patel,Meera Pandit
tt3148502,Spectacle,2015,Deepika Padukone,Tara Maheshwari
tt3148502,Spectacle,2015,Ranbir Kapoor,Ved Vardhan Sahni
tt3148502,Spectacle,2015,Piyush Mishra,Storyteller
tt3148502,Spectacle,2015,Naila Grewal,Clown & Fangirl
tt3148502,Spectacle,2015,Javed Sheikh,Ved's Father
tt3148502,Spectacle,2015,Arushi Sharma,Sanyukta
tt3148502,Spectacle,2015,Sushma Seth,Ved's grandmother
tt3148502,Spectacle,2015,Ishwak Singh,
tt3148502,Spectacle,2015,Vivek Mushran,Ved's boss
tt3148502,Spectacle,2015,Svetlana Tulasi,Sita (Hindu Goddess)
tt3148502,Spectacle,2015,Teddy Maurya,Servant
tt3148502,Spectacle,2015,Nikhil Bhagat,Tara's Father
tt3148502,Spectacle,2015,Ishtiyak Khan,Rajesh Autowala
tt3148502,Spectacle,2015,Saurabh Pal,Theatre Artist
tt3148502,Spectacle,2015,Yash Sehgal,Younger Ved
tt3148502,Spectacle,2015,Sukhesh Arora,
tt3148502,Spectacle,2015,Kanwalpreet Singh,
tt3148502,Spectacle,2015,Kshitij Sharma,Theatre Artist
tt3148502,Spectacle,2015,Punam Singh,Tea Executive
tt3148502,Spectacle,2015,Aditya Prabhakar Jain,Prithviraj Chouhan (as Aditya Prashakar)
tt3148502,Spectacle,2015,Faraaz Servaia,Tara's Brother
tt3159708,Welcome Back,2015,Anil Kapoor,Sagar 'Majnu' Pandey
tt3159708,Welcome Back,2015,Nana Patekar,Uday Shankar Shetty
tt3159708,Welcome Back,2015,Dimple Kapadia,Poonam / Maharani of nabazgadh
tt3159708,Welcome Back,2015,John Abraham,Ajju Bhai / Ajay
tt3159708,Welcome Back,2015,Shruti Haasan,Ranjana Shetty (as Shruti K. Haasan)
tt3159708,Welcome Back,2015,Shiney Ahuja,Honey
tt3159708,Welcome Back,2015,Paresh Rawal,Dr. Ghunghroo
tt3159708,Welcome Back,2015,Naseeruddin Shah,Wanted Bhai
tt3159708,Welcome Back,2015,Swantatra Bharat,
tt3159708,Welcome Back,2015,Brahmanandam,
tt3159708,Welcome Back,2015,Surveen Chawla,special appearance in song 'Tutti Bole Wedding Di'
tt3159708,Welcome Back,2015,Snehal Dabi,Babita / Chandani
tt3159708,Welcome Back,2015,Reema Debnath,Special appearance in song '20-20'
tt3159708,Welcome Back,2015,Lauren Gottlieb,Special appearance in song '20-20'
tt3159708,Welcome Back,2015,Adi Irani,Uday's lawyer
tt3159708,Welcome Back,2015,Harry Josh,
tt3159708,Welcome Back,2015,Aslam Khan,
tt3159708,Welcome Back,2015,Mushtaq Khan,Balu
tt3159708,Welcome Back,2015,Sakshi Maggo,
tt3159708,Welcome Back,2015,Om Puri,Narrator (voice)
tt3159708,Welcome Back,2015,Amjad Qureshi,
tt3159708,Welcome Back,2015,Ranjeet,Kapoor
tt3159708,Welcome Back,2015,Javed Rizvi,Ajju's dumb and deaf friend (as Javed Rizvi Jarehavi)
tt3159708,Welcome Back,2015,Sambhavna Sheth,
tt3159708,Welcome Back,2015,Neeraj Vora,Basha bhai
tt3159708,Welcome Back,2015,Rajpal Yadav,
tt3398048,Tevar,2015,Arjun Kapoor,Pintoo Shukla
tt3398048,Tevar,2015,Sonakshi Sinha,Radhika Mishra
tt3398048,Tevar,2015,Manoj Bajpayee,Gajendar Singh
tt3398048,Tevar,2015,Deepti Naval,Pintoo's Mother
tt3398048,Tevar,2015,Raj Babbar,S.P Shukla
tt3398048,Tevar,2015,Shruti Haasan,Special Appearance (as Shruti K. Haasan)
tt3398048,Tevar,2015,Bhuvan Arora,Ghonsla
tt3398048,Tevar,2015,Anil Charanjeett,Pintoo's Friend (as Anil Mange)
tt3398048,Tevar,2015,Shaji Chaudhary,Vijendra Singh's Goon
tt3398048,Tevar,2015,Subrat Dutta,Kaakdi
tt3398048,Tevar,2015,Gunjan Malhotra,Pinky
tt3398048,Tevar,2015,Deepaq Sharma,Inspector Dubeyji
tt3398048,Tevar,2015,Rajesh Sharma,Mahender Singh
tt3398048,Tevar,2015,V.K. Sharma,Radhika's Father
tt3398048,Tevar,2015,Rajeev Yadav,P.A. (as Rajiv Yadav)
tt3469244,Phantom,2015,Saif Ali Khan,Daniyal Khan
tt3469244,Phantom,2015,Katrina Kaif,Nawaz Mistry
tt3469244,Phantom,2015,Sabyasachi Chakrabarty,R.A.W. Chief Roy
tt3469244,Phantom,2015,Rajesh Tailang,Raw Agent Alok
tt3469244,Phantom,2015,Hervey Afiune,Otto Bexley
tt3469244,Phantom,2015,Elyas Ahmad,TBA
tt3469244,Phantom,2015,Farah Ahmed,Commuter / Cricket Spectator
tt3469244,Phantom,2015,Brandi Alexander,Court Clerk
tt3469244,Phantom,2015,Mohammed Ali,Cricket Spectator
tt3469244,Phantom,2015,Manoj Anand,Cricket Spectator
tt3469244,Phantom,2015,Jane Clark Anderson,Cricket Spectator
tt3469244,Phantom,2015,Darren Andrichuk,Policeman
tt3469244,Phantom,2015,Claire Ashton,Mother in Danger
tt3469244,Phantom,2015,Nicole Atalla,Little Kid
tt3469244,Phantom,2015,Ravi Aujla,
tt3469244,Phantom,2015,Raj Awasti,Commuter / Cricket Spectator
tt3469244,Phantom,2015,Mohammed Zeeshan Ayyub,Samit mishra
tt3469244,Phantom,2015,Hayley Joanne Bacon,Spectator at Cricket Match
